,ticker,name,calendardate,sector,industry,revenue,fcfmargin,eps,oppmargin,profitmargin,netmargin,pe,roc,roe
100913,SO,SOUTHERN CO,2021-06-30,Utilities,Utilities - Regulated Electric,5198000000.0,0.01385148133897653,0.35,0.13409003462870334,0.07233551365909965,0.39399769141977686,20.368,0.004339095713988967,0.011482318451108533
100911,SO,SOUTHERN CO,2020-12-31,Utilities,Utilities - Regulated Electric,5117000000.0,-0.11002540551104163,0.37,0.13738518663279264,0.07641196013289037,0.34746922024623805,20.803,0.004948552769797375,0.013978263978263978
100905,SO,SOUTHERN CO,2019-06-30,Utilities,Utilities - Regulated Electric,5098000000.0,0.00039231071008238524,0.86,0.261671243624951,0.17693213024715576,0.4097685366810514,12.996,0.0116704835099432,0.028974334264880667
100908,SO,SOUTHERN CO,2020-03-31,Utilities,Utilities - Regulated Electric,5018000000.0,-0.16082104424073335,0.82,0.2439218812275807,0.17377441211638103,0.41470705460342766,16.196,0.010698073855968594,0.027321719513723523
100907,SO,SOUTHERN CO,2019-12-31,Utilities,Utilities - Regulated Electric,4914000000.0,-0.2594627594627595,0.41,0.1288156288156288,0.09055759055759056,0.291005291005291,14.097,0.005840584845979184,0.016178876567896745
100909,SO,SOUTHERN CO,2020-06-30,Utilities,Utilities - Regulated Electric,4620000000.0,0.07554112554112555,0.58,0.22900432900432902,0.13333333333333333,0.45021645021645024,16.914,0.0075373810048209875,0.01927348956540784
77063,NRG,NRG ENERGY INC,2022-09-30,Utilities,Utilities - Independent Power Producers,8510000000.0,-0.1799059929494712,0.29,0.018331374853113983,0.007873090481786135,0.08319623971797885,4.764,0.002901940401940402,0.013060428849902534
77060,NRG,NRG ENERGY INC,2021-03-31,Utilities,Utilities - Independent Power Producers,8091000000.0,-0.12112223458163392,-0.33,-0.006921270547521938,-0.010134717587442837,0.1525151402793227,30.072,-0.005919722783713543,-0.05405405405405406
77062,NRG,NRG ENERGY INC,2022-03-31,Utilities,Utilities - Independent Power Producers,7896000000.0,0.20466058763931105,7.17,0.3071175278622087,0.2198581560283688,0.37563323201621074,2.319,0.08106467429371936,0.34512922465208745
77069,NRG,NRG ENERGY INC,2022-06-30,Utilities,Utilities - Independent Power Producers,7282000000.0,0.19541334798132382,2.16,0.10354298269706125,0.07044767920900852,0.1915682504806372,2.633,0.02121588089330025,0.09679245283018868
77061,NRG,NRG ENERGY INC,2021-12-31,Utilities,Utilities - Independent Power Producers,7046000000.0,-0.2003973885892705,-1.74,-0.0679818336644905,-0.060601759863752484,0.008515469770082317,4.823,-0.02559031523432818,-0.11861111111111111
77068,NRG,NRG ENERGY INC,2021-09-30,Utilities,Utilities - Independent Power Producers,6609000000.0,0.2121349674686034,6.6,0.35088515660463004,0.24481767287032835,0.4413678317445907,4.094,0.07932928025102962,0.3967631191760667
77067,NRG,NRG ENERGY INC,2021-06-30,Utilities,Utilities - Independent Power Producers,5243000000.0,0.23154682433721152,4.4,0.2969673850848751,0.205607476635514,0.4377264924661453,9.201,0.06963824289405685,0.42374213836477986
77057,NRG,NRG ENERGY INC,2019-09-30,Utilities,Utilities - Independent Power Producers,2996000000.0,0.1321762349799733,1.46,0.1802403204272363,0.12416555407209613,0.28137516688918557,9.605,0.06064558200195631,-0.23679185232336092
77053,NRG,NRG ENERGY INC,2018-09-30,Utilities,Utilities - Independent Power Producers,2960000000.0,0.16655405405405405,-0.24,0.13445945945945945,-0.024324324324324326,0.24391891891891893,-9.042,-0.009969537524231515,0.07692307692307693
77065,NRG,NRG ENERGY INC,2020-09-30,Utilities,Utilities - Independent Power Producers,2809000000.0,0.22890708437166252,1.02,0.13990744037023853,0.0886436454254183,0.2758988964044144,1.846,0.027952402334979795,0.12874870734229577
77049,NRG,NRG ENERGY INC,2017-09-30,Utilities,Utilities - Independent Power Producers,2740000000.0,0.37664233576642336,0.54,0.1083941605839416,0.06240875912408759,0.24379562043795622,-5.046,0.009039488290955225,0.1445477599323753
77048,NRG,NRG ENERGY INC,2017-06-30,Utilities,Utilities - Independent Power Producers,2701000000.0,-0.061088485746019994,-1.98,0.11106997408367271,-0.2317660125879304,0.3184005923731951,-3.961,-0.033105928393886506,-0.6131243878550441
77056,NRG,NRG ENERGY INC,2019-06-30,Utilities,Utilities - Independent Power Producers,2465000000.0,0.18580121703853955,0.76,0.12981744421906694,0.08154158215010142,0.2515212981744422,15.663,0.033657066309444074,-0.12196601941747573
77052,NRG,NRG ENERGY INC,2018-06-30,Utilities,Utilities - Independent Power Producers,2461000000.0,0.014628199918732222,0.23,0.0707029662738724,0.029256399837464444,0.23242584315318976,-9.552,0.004389976220962136,-0.19672131147540983
77047,NRG,NRG ENERGY INC,2017-03-31,Utilities,Utilities - Independent Power Producers,2382000000.0,-0.12720403022670027,-0.52,-0.005037783375314861,-0.06842989084802686,0.218303946263644,-6.279,-0.007393296140064408,-0.1003076923076923
77064,NRG,NRG ENERGY INC,2020-06-30,Utilities,Utilities - Independent Power Producers,2238000000.0,0.193923145665773,1.28,0.2162645218945487,0.13985701519213584,0.35924932975871315,1.897,0.0343164126740489,0.17885714285714285
77058,NRG,NRG ENERGY INC,2019-12-31,Utilities,Utilities - Independent Power Producers,2195000000.0,0.21457858769931662,12.97,0.09521640091116174,1.5412300683371298,0.24646924829157174,2.253,0.3673979148566464,2.040410132689988
